--------- beginning of /dev/log/system
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTNAME=recovery'
01-01 08:00:02.572 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p4'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'MINOR=4'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p4'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTN=4'
01-01 08:00:02.572 D/NetlinkEvent( 1569): NL param 'PARTNAME=deviceinfo'
01-01 08:00:02.572 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p5'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'MINOR=5'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p5'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'PARTN=5'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'PARTNAME=baseparam'
01-01 08:00:02.573 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p6'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'MINOR=6'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p6'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'PARTN=6'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'PARTNAME=pqparam'
01-01 08:00:02.573 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p7'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'MAJOR=179'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'MINOR=7'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p7'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'PARTN=7'
01-01 08:00:02.573 D/NetlinkEvent( 1569): NL param 'PARTNAME=logo'
01-01 08:00:02.573 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p8'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'MAJOR=259'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'MINOR=0'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'DEVNAME=mmcblk0p8'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'DEVTYPE=partition'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'PARTN=8'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'PARTNAME=logobak'
01-01 08:00:02.579 D/DirVolume( 1569): [-vold_debug-75] :handleBlockEvent begin
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'DEVPATH=/devices/platform/soc/f9830000.himciv200.MMC/mmc_host/mmc0/mmc0:0001/block/mmcblk0/mmcblk0p9'
01-01 08:00:02.579 D/NetlinkEvent( 1569): NL param 'MAJOR=259'
